Club,year,actual_rank,forecast_a_rank,forecast_b_rank,finish_1_p10,finish_1_p25,finish_1_p75,finish_1_p90,finish_2_p10,finish_2_p25,finish_2_p75,finish_2_p90
Sydney,2020,16,8.555029301109316,7.7742856474551285,4,4,12,16,3.050680650649433,5,11,13
West Coast,2020,5,9.32782711907154,9.60146812128757,1,5,14,15,2,4,14,18
Western Bulldogs,2020,7,7.778013444807994,6.654587018256955,1,3,13,15,1,2.9482595217459533,11,12
Adelaide,2021,15,12.881276123326455,8.321699967451192,11,11,15,16,3,5,13,13
Brisbane Lions,2021,5,7.512633406449782,9.251892197912374,1,1.574879952684725,13,15,1,4,15,16
Carlton,2021,13,11.876644710092323,9.863814063130983,2.118505896133911,9,15,16,4,4,13,17
Collingwood,2021,17,10.692292388027287,10.821633921786118,6.680806027109583,9,14,14,4,7,14,16
Essendon,2021,8,6.598383867609142,7.9284533555588865,5,5,7,12.689094426257356,4,6,10,10
Fremantle,2021,11,11.066261942716118,8.21633042993926,4.413289511078801,8,15,16,3,4,11,14
Geelong,2021,3,10.648768631537502,10.294834053824523,2.3195393542253555,8,12,16,1.0160677698237777,4,15,15
Gold Coast,2021,16,10.429891969683107,7.7047800113073,4,7,16,16,4,5,11,13
Greater Western Sydney,2021,7,8.6878068964031,7.173425430145406,5,7,11,14.085770581625013,1,3,9,16.085770581625013
Hawthorn,2021,14,10.102191354662676,10.318114896800083,6,6,15,16,4,6,14,16.034543415700455
Melbourne,2021,1,2.9648136134091096,5.756655072730876,1,1,4,8,2,2,7,12
North Melbourne,2021,18,13.271139608901958,11.125895387744677,8,11,16,18,5,7,14,16
Port Adelaide,2021,2,7.941458995149488,8.94000334149451,1,2,13,15,1,3,14,16
Richmond,2021,12,10.555283015622363,8.82660950547965,1,4,15,17,2,2,16,16
St Kilda,2021,10,11.112070937352586,8.990200122592029,3,5,18,18,2,8,13,14
Sydney,2021,6,8.684889468422478,9.76261242278808,3,5,11,15,4,5,14,16
West Coast,2021,9,12.943608227343073,11.123386286723361,3.3117206824906553,11.279301706226633,18,18,2,5,17,17
Western Bulldogs,2021,4,5.923238066695959,6.242342800458788,1,4,8,11,1,1,9,10
Adelaide,2022,14,8.890079496244281,9.070173564092354,4,7,11,16,5,6,10,17
Brisbane Lions,2022,6,9.845267945045501,9.714752441953793,5,8,13,15,3,4,16,18
Carlton,2022,8,5.203397225057259,5.36968260414099,2,3,7,13,1,3,9,10.211633954279051
Collingwood,2022,4,8.064601371076785,8.454600636189681,4,5,11,14,3,5,13,13
Essendon,2022,15,9.239053826458054,8.953848865755177,2.1352845440927197,4,14,14.21756089683447,5,5,15,15
Fremantle,2022,5,7.176332204990833,5.093707934621685,2,4,10,11,2,2,7,9
Geelong,2022,1,6.437563843048156,10.408415782325633,2,3,10,16,4,5.810144609997497,13,15
Gold Coast,2022,12,11.837602713584891,9.201880743210873,7,9,16,16,6,7,10,14.544537062296754
Greater Western Sydney,2022,16,9.5093267030958,11.906115500466171,5,6,13,15,8,10,15,16
Hawthorn,2022,13,11.026388686656844,9.512099937190305,7,8,14,16,5,5,15,15
Melbourne,2022,2,6.260958244254603,9.362217317931421,2,5,10,11,3,3,15,16
North Melbourne,2022,18,12.840655447804945,9.52727737967734,11,11,15,17,3,7,13,14
Port Adelaide,2022,11,10.389335307295699,10.419805671220807,2,4,15,15,2,3,16,18
Richmond,2022,7,11.356707799853043,11.310501949707398,5,9,13,15,4,7,15,16
St Kilda,2022,10,10.284439673779147,11.623608057180988,6,6.998688264455186,14,18,4,9,15,16
Sydney,2022,3,6.852879735957543,7.788824246419551,1.6732680641085942,4,11,11,3,5,9,13.651973028991762
West Coast,2022,17,11.981615368672356,10.848013546071499,4,10.471403439293756,15,16.194104762915032,6,9,14,16
Western Bulldogs,2022,9,8.54113912494776,10.591618204109373,5,5,11,13,5,9,14,16.83716259516555
Adelaide,2023,10,9.504661457553368,11.433931694543425,3,6,13,15,6,8,16,16.09828763125833
Brisbane Lions,2023,2,5.379911899561045,8.701916525991232,1,3,8,9,1,3,15.664372212169539,17
Carlton,2023,5,4.720993816212472,4.71962278281626,3,3,6,7,1,1,8.202587510606094,9
Collingwood,2023,1,3.6172240099403683,6.45166467300189,2,3,4,6.500097711019521,2,2,11,12
Essendon,2023,11,11.00486490829191,7.163291260239435,7,8,15.59857325469244,16,5,6,8,9
Fremantle,2023,14,8.53339219227442,6.537408425926821,4,5,12,13,1,2,10,17
Geelong,2023,12,8.304381384119944,8.85715337822032,2,4,12,16,4,4,15,15
Gold Coast,2023,15,9.646149941760306,8.657206375854011,5,7,14,14,2,5.7502602616740965,12.250780785022286,13
Greater Western Sydney,2023,6,7.438848505233689,9.3364544109986,4,6,10,13,3,8,12,13
Hawthorn,2023,16,8.939111971526465,7.945716785749264,4,4,12,16,2,4,15,17
Melbourne,2023,4,6.349315635585731,9.35167073718685,3,3.7618979414519913,9,11,4,9,10,16
North Melbourne,2023,17,14.141631964958556,10.347838221005635,11,11,17,18,3,7,14,17
Port Adelaide,2023,3,8.664159187267465,4.6076274659736995,2,2,13,17,1,2,6,9
Richmond,2023,13,13.746778639209818,12.273873412588111,9,12,17,18,4,5,18,18
St Kilda,2023,7,8.453465905350425,9.448607650201035,4,5,11,14,1,7,14,16
